State:,18-24 years,25-34 years,35-44 years,45-54 years,55-64 years,65+ years
"Nationwide (States, DC, and Territories)",13.0,17.2,16.1,18.0,16.9,19.2
Nationwide (States and DC),13.0,17.0,16.1,18.0,16.9,19.2
Alabama,13.2,16.5,16.1,17.7,16.9,19.6
Alaska,14.0,19.6,16.9,19.1,17.8,12.7
Arizona,13.1,17.8,16.7,16.8,15.6,20.0
Arkansas,13.0,16.8,16.1,17.3,16.5,20.4
California,13.5,18.8,17.7,18.0,15.4,16.5
Colorado,12.7,18.6,17.7,18.1,16.7,16.2
Connecticut,12.5,15.0,15.8,19.7,17.4,19.7
Delaware,12.8,16.3,15.5,18.1,17.0,20.3
District of Columbia,12.8,27.4,16.7,14.9,13.3,14.9
Florida,11.5,15.5,15.4,17.6,16.5,23.5
Georgia,13.7,17.9,18.2,18.6,15.6,16.0
Guam,17.1,19.7,19.3,18.8,13.3,11.9
Hawaii,12.0,17.7,16.2,17.1,17.0,20.1
Idaho,13.9,17.5,16.6,17.0,16.5,18.6
Illinois,13.0,17.5,17.1,18.2,16.3,17.9
Indiana,13.8,16.4,16.4,18.0,16.8,18.6
Iowa,13.8,16.0,15.2,17.3,17.1,20.6
Kansas,14.1,17.2,15.9,17.4,16.6,18.9
Kentucky,12.6,16.5,16.6,18.2,17.1,19.1
Louisiana,13.4,18.4,16.1,17.6,16.6,17.8
Maine,11.3,13.6,14.7,19.0,19.5,21.8
Maryland,12.6,17.0,16.7,19.3,16.8,17.6
Massachusetts,13.4,16.3,15.9,18.7,16.8,19.0
Michigan,13.3,15.4,15.6,18.5,17.7,19.5
Minnesota,12.7,17.2,16.2,18.5,17.0,18.4
Mississippi,14.0,17.2,16.3,17.5,16.4,18.6
Missouri,13.0,16.7,15.7,17.9,16.9,19.7
Montana,12.6,15.8,14.4,17.2,19.2,20.9
Nebraska,13.6,17.4,16.0,17.3,16.6,19.1
Nevada,12.0,18.3,18.0,18.0,15.9,17.9
New Hampshire,12.5,14.0,15.3,20.3,18.8,19.2
New Jersey,11.9,16.0,16.9,19.6,16.8,18.9
New Mexico,13.1,17.5,15.6,17.2,17.3,19.3
New York,12.7,17.9,16.3,18.2,16.3,18.7
North Carolina,13.0,16.7,17.2,18.1,16.4,18.6
North Dakota,15.1,17.7,14.4,16.5,16.9,19.5
Ohio,12.7,15.9,15.8,18.2,17.6,19.9
Oklahoma,13.5,17.7,16.1,17.1,16.4,19.3
Oregon,12.0,17.2,16.4,16.9,17.7,19.7
Pennsylvania,12.8,15.4,15.1,18.1,17.5,21.1
Puerto Rico,13.4,17.3,17.1,17.2,15.5,19.4
Rhode Island,13.9,15.9,15.2,18.4,17.1,19.6
South Carolina,13.1,16.6,16.0,17.6,17.0,19.8
South Dakota,13.5,16.9,15.1,17.2,17.2,20.1
Tennessee,12.4,16.8,16.6,18.1,16.9,19.3
Texas,14.0,19.1,18.3,17.9,15.2,15.5
Utah,16.6,22.1,18.4,15.4,13.4,14.1
Vermont,13.5,13.9,14.4,18.7,19.5,20.2
Virginia,13.2,17.3,16.9,18.6,16.5,17.5
Washington,12.5,17.9,16.9,17.9,17.0,17.8
West Virginia,11.8,14.6,15.5,17.4,18.8,21.9
Wisconsin,12.9,16.3,15.7,18.6,17.4,19.2
Wyoming,12.1,18.7,15.6,17.2,18.3,18.2
