State:,Yes,No
"Nationwide (States, DC, and Territories)",38.4,61.6
Nationwide (States and DC),38.4,61.6
Alabama,44.4,55.6
Alaska,38.6,61.4
Arizona,39.7,60.3
Arkansas,42.4,57.6
California,37.7,62.3
Colorado,34.8,65.2
Connecticut,37.8,62.2
Delaware,40.6,59.4
District of Columbia,34.0,66.0
Florida,40.3,59.7
Georgia,38.1,61.9
Guam,38.0,62.0
Hawaii,35.0,65.1
Idaho,38.4,61.6
Illinois,36.6,63.4
Indiana,39.8,60.2
Iowa,41.1,58.9
Kansas,38.1,61.9
Kentucky,43.2,56.8
Louisiana,40.7,59.3
Maine,39.7,60.3
Maryland,37.0,63.0
Massachusetts,36.5,63.5
Michigan,40.6,59.4
Minnesota,33.6,66.4
Mississippi,41.9,58.1
Missouri,38.8,61.2
Montana,35.7,64.3
Nebraska,37.4,62.6
Nevada,38.6,61.4
New Hampshire,36.7,63.3
New Jersey,39.2,60.8
New Mexico,36.8,63.2
New York,39.1,61.0
North Carolina,41.0,59.1
North Dakota,36.5,63.6
Ohio,37.5,62.5
Oklahoma,41.2,58.8
Oregon,37.0,63.0
Pennsylvania,38.5,61.5
Puerto Rico,38.5,61.5
Rhode Island,38.7,61.3
South Carolina,42.6,57.4
South Dakota,36.6,63.4
Tennessee,38.7,61.3
Texas,37.7,62.3
Utah,33.4,66.6
Vermont,35.2,64.8
Virginia,38.6,61.4
Washington,36.7,63.3
West Virginia,42.9,57.1
Wisconsin,36.3,63.8
Wyoming,35.0,65.0
