State:,Smoke everyday,Smoke some days,Former smoker,Never smoked
"Nationwide (States, DC, and Territories)",13.4,5.4,25.2,55.0
Nationwide (States and DC),13.4,5.4,25.3,55.0
Alabama,15.8,5.7,23.4,55.1
Alaska,15.6,6.9,26.7,50.7
Arizona,11.1,5.3,26.0,57.6
Arkansas,19.5,6.5,25.0,49.1
California,8.0,4.6,22.8,64.7
Colorado,11.9,5.7,26.2,56.1
Connecticut,10.1,5.4,28.2,56.3
Delaware,13.4,6.1,25.4,55.0
District of Columbia,10.8,8.1,21.4,59.8
Florida,11.6,5.3,28.2,55.0
Georgia,13.6,5.2,20.6,60.6
Guam,19.4,7.1,16.5,57.0
Hawaii,9.0,4.4,27.3,59.4
Idaho,12.2,5.0,24.7,58.2
Illinois,12.4,5.7,24.8,57.2
Indiana,16.6,5.3,25.2,52.9
Iowa,15.0,4.5,24.4,56.1
Kansas,14.5,5.5,24.0,55.9
Kentucky,20.5,6.0,26.0,47.6
Louisiana,16.7,6.8,22.6,53.9
Maine,15.1,5.2,31.1,48.7
Maryland,11.7,4.7,22.3,61.3
Massachusetts,11.8,4.8,27.2,56.2
Michigan,16.2,5.3,27.0,51.6
Minnesota,12.4,5.6,27.8,54.2
Mississippi,17.7,7.2,21.5,53.7
Missouri,16.6,5.5,25.2,52.7
Montana,14.0,5.0,26.8,54.2
Nebraska,13.7,4.7,24.7,56.9
Nevada,13.2,6.2,22.5,58.1
New Hampshire,12.3,3.9,31.0,52.7
New Jersey,10.6,5.0,25.8,58.6
New Mexico,12.7,6.5,25.4,55.5
New York,11.2,5.4,25.0,58.4
North Carolina,14.2,6.1,25.1,54.7
North Dakota,15.6,5.6,25.2,53.7
Ohio,17.8,5.5,25.3,51.4
Oklahoma,17.4,6.3,24.5,51.8
Oregon,12.8,4.6,27.3,55.4
Pennsylvania,15.7,5.3,26.0,53.1
Puerto Rico,7.1,3.7,19.0,70.2
Rhode Island,12.5,4.9,28.6,54.0
South Carolina,15.4,6.6,25.3,52.7
South Dakota,13.5,6.1,27.4,53.1
Tennessee,18.4,5.9,24.1,51.6
Texas,9.9,6.0,22.0,62.1
Utah,7.1,3.2,17.3,72.4
Vermont,12.5,4.1,29.9,53.5
Virginia,13.4,5.6,23.8,57.2
Washington,11.3,4.7,26.4,57.6
West Virginia,22.8,4.5,24.3,48.4
Wisconsin,13.0,5.7,26.9,54.4
Wyoming,15.5,5.2,26.6,52.8
