State:,Yes,"Yes, pregnancy-related",No,"No, pre-diabetes or borderline diabetes"
"Nationwide (States, DC, and Territories)",9.8,0.9,87.8,1.3
Nationwide (States and DC),9.7,0.9,87.8,1.2
Alabama,13.8,1.0,83.8,1.4
Alaska,7.1,0.9,90.6,1.5
Arizona,10.7,,87.7,0.9
Arkansas,11.5,1.5,86.3,0.7
California,10.2,1.7,86.0,2.1
Colorado,6.5,0.8,91.5,1.2
Connecticut,8.3,1.3,89.3,1.1
Delaware,11.1,1.0,87.0,1.0
District of Columbia,7.8,0.7,90.3,1.2
Florida,11.2,1.3,86.4,1.2
Georgia,10.8,1.4,86.2,1.6
Guam,14.1,1.2,81.0,3.8
Hawaii,8.4,1.2,85.9,4.6
Idaho,8.4,1.0,89.4,1.2
Illinois,9.9,0.9,88.6,0.6
Indiana,11.0,0.9,87.2,1.0
Iowa,9.3,1.0,88.4,1.3
Kansas,9.6,0.9,88.3,1.2
Kentucky,10.6,1.2,86.5,1.8
Louisiana,11.6,1.3,83.6,3.5
Maine,9.7,0.9,88.2,1.3
Maryland,9.8,1.6,86.8,1.9
Massachusetts,8.5,1.1,89.3,1.2
Michigan,10.4,0.5,87.7,1.4
Minnesota,7.4,1.0,90.7,0.9
Mississippi,12.9,0.7,85.3,1.2
Missouri,9.6,0.7,88.2,1.6
Montana,7.7,0.8,90.3,1.3
Nebraska,9.2,0.9,88.6,1.4
Nevada,9.6,0.7,88.5,1.2
New Hampshire,9.2,1.1,88.8,0.9
New Jersey,9.2,1.5,87.8,1.5
New Mexico,10.7,0.7,86.9,1.6
New York,10.6,0.8,87.3,1.3
North Carolina,11.4,0.8,86.2,1.6
North Dakota,8.9,0.7,89.4,1.0
Ohio,10.4,0.9,87.3,1.4
Oklahoma,11.0,0.7,86.8,1.5
Oregon,9.2,1.6,87.8,1.5
Pennsylvania,10.1,0.7,88.1,1.2
Puerto Rico,14.9,0.5,82.2,2.4
Rhode Island,9.3,1.1,88.5,1.1
South Carolina,12.5,0.8,85.2,1.6
South Dakota,9.1,0.8,89.1,1.1
Tennessee,12.2,1.1,77.4,9.2
Texas,11.0,1.0,86.9,1.1
Utah,7.1,1.0,90.8,1.1
Vermont,7.8,0.7,90.9,0.6
Virginia,9.8,1.5,87.1,1.6
Washington,8.6,1.6,88.9,1.0
West Virginia,13.0,0.7,84.2,2.0
Wisconsin,8.2,0.7,90.2,0.8
Wyoming,8.6,0.9,89.5,1.0
