State:,Male,Female
"Nationwide (States, DC, and Territories)",48.7,51.3
Nationwide (States and DC),48.7,51.3
Alabama,47.8,52.2
Alaska,51.9,48.1
Arizona,49.3,50.7
Arkansas,48.5,51.5
California,49.3,50.7
Colorado,49.8,50.2
Connecticut,48.1,51.9
Delaware,47.8,52.2
District of Columbia,46.7,53.4
Florida,48.4,51.6
Georgia,48.3,51.7
Guam,50.3,49.7
Hawaii,49.8,50.2
Idaho,49.7,50.3
Illinois,48.5,51.5
Indiana,48.7,51.3
Iowa,49.1,50.9
Kansas,49.2,50.8
Kentucky,48.6,51.4
Louisiana,48.3,51.7
Maine,48.4,51.6
Maryland,47.7,52.3
Massachusetts,47.8,52.2
Michigan,48.5,51.5
Minnesota,49.2,50.8
Mississippi,47.8,52.2
Missouri,48.4,51.6
Montana,49.9,50.1
Nebraska,49.2,50.8
Nevada,50.1,49.9
New Hampshire,48.9,51.1
New Jersey,48.1,51.9
New Mexico,49.0,51.0
New York,47.8,52.2
North Carolina,48.0,52.0
North Dakota,50.5,49.5
Ohio,48.2,51.8
Oklahoma,49.0,51.0
Oregon,49.1,51.0
Pennsylvania,48.2,51.8
Puerto Rico,46.9,53.1
Rhode Island,47.7,52.3
South Carolina,48.0,52.0
South Dakota,49.8,50.2
Tennessee,48.1,51.9
Texas,49.1,50.9
Utah,49.8,50.2
Vermont,48.8,51.2
Virginia,48.6,51.4
Washington,49.5,50.5
West Virginia,48.9,51.1
Wisconsin,49.2,50.8
Wyoming,50.8,49.2
