State:,Yes,No
"Nationwide (States, DC, and Territories)",19.0,81.0
Nationwide (States and DC),19.0,81.0
Alabama,21.5,78.5
Alaska,22.6,77.4
Arizona,16.3,83.7
Arkansas,25.9,74.1
California,12.5,87.5
Colorado,17.7,82.3
Connecticut,15.5,84.5
Delaware,19.6,80.5
District of Columbia,18.8,81.2
Florida,16.8,83.2
Georgia,18.8,81.2
Guam,26.5,73.5
Hawaii,13.3,86.7
Idaho,17.2,82.8
Illinois,18.0,82.0
Indiana,21.9,78.1
Iowa,19.5,80.5
Kansas,20.0,80.0
Kentucky,26.5,73.5
Louisiana,23.5,76.5
Maine,20.2,79.8
Maryland,16.4,83.6
Massachusetts,16.6,83.4
Michigan,21.4,78.6
Minnesota,18.0,82.0
Mississippi,24.8,75.2
Missouri,22.1,77.9
Montana,19.0,81.0
Nebraska,18.5,81.6
Nevada,19.4,80.6
New Hampshire,16.2,83.8
New Jersey,15.7,84.3
New Mexico,19.1,80.9
New York,16.6,83.4
North Carolina,20.3,79.8
North Dakota,21.2,78.8
Ohio,23.4,76.6
Oklahoma,23.7,76.3
Oregon,17.3,82.7
Pennsylvania,21.0,79.1
Puerto Rico,10.8,89.2
Rhode Island,17.4,82.6
South Carolina,22.0,78.0
South Dakota,19.6,80.4
Tennessee,24.3,75.7
Texas,15.9,84.1
Utah,10.3,89.7
Vermont,16.6,83.4
Virginia,19.0,81.0
Washington,16.1,84.0
West Virginia,27.3,72.7
Wisconsin,18.7,81.3
Wyoming,20.6,79.4
